"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"879","20009416-2984004","RIDGWAY_1","GID100020039875",38,4579.84295496233,10.8419760165162
"882","20009497-2984004","RIDGWAY_1","GID100020039955",41,3343.6834676336,10.7511942009783
"887","20009500-10020419656","RIDGWAY_1","GID100020039980",39,3716.79753007792,11.0836096044849
"892","20001789-2984004","RIDGWAY_1","GID100020040026",43,4963.7781970815,12.4916612922766
"898","20009419-2984004","RIDGWAY_1","GID100020040115",39,3677.74220407382,10.4571740106757
"899","20009419-2984004","RIDGWAY_1","GID100020040116",39,3665.81452018369,10.5584313281997
"900","20009419-2984004","RIDGWAY_1","GID100020040126",41,3472.93781442624,9.18070882574747
"904","20009472-3472667","RIDGWAY_1","GID100020040176",41,4403.14063856398,11.020721227624
"905","20009419-2984004","RIDGWAY_1","GID100020040184",41,3607.79585569619,11.1280923687445
"908","20009497-2984004","RIDGWAY_1","GID100020040211",41,3215.3443294622,9.39108542369828
"910","20009490-2984004","RIDGWAY_1","GID100020040220",39,4469.77525454187,11.4043550393952
"911","20009472-10020419721","RIDGWAY_1","GID100020040234",39,3684.15545637249,10.5108220577112
"913","20009489-2984004","RIDGWAY_1","GID100020040244",39,3573.38552558564,10.8748203284309
"914","20009419-2984004","RIDGWAY_1","GID100020040249",41,4480.8578618712,11.0060026066074
"916","20009472-3472667","RIDGWAY_1","GID100020040262",41,3601.5019082799,11.1951969693661
"917","20009472-10020419721","RIDGWAY_1","GID100020040263",40,4147.23448196064,11.0184281854242
"919","20009479-3473863","RIDGWAY_1","GID100020040267",40,3528.42817037687,10.6672835838057
"923","20009472-3472667","RIDGWAY_1","GID100020040279",40,3772.14899508665,10.4753980683956
"926","20009419-2984004","RIDGWAY_1","GID100020040312",37,3259.2624435145,10.5406957461053
"929","20009472-10020419721","RIDGWAY_1","GID100020040332",39,3444.80539324393,10.6148203714153
"932","20009489-2984004","RIDGWAY_1","GID100020040341",41,3491.86707063033,10.4904173484531
"933","20009490-2984004","RIDGWAY_1","GID100020040363",39,3629.40844724353,10.6883218308627
"935","20009489-2984004","RIDGWAY_1","GID100020040369",40,3193.50583266206,10.8180924094178
