Genotype,blups,deregressed.blups,Adj.Grain.Yield
AYT-S-0201,-48.00844418,-77.08067107,5066.595007
AYT-S-0202,-285.5809811,-431.0446008,4712.631078
AYT-S-0203,-208.7594935,-326.9539583,4816.72172
AYT-S-0204,-168.5972027,-272.81784,4870.857838
AYT-S-0205,-97.43807916,-152.6090918,4991.066587
AYT-S-0206,-408.342551,-661.4585205,4482.217158
AYT-S-0207,66.43626821,100.2915112,5243.96719
AYT-S-0208,198.7430906,325.5021496,5469.177828
AYT-S-0209,0.777596337,1.180228255,5144.855907
AYT-S-0210,208.6620726,315.0370321,5458.712711
AYT-S-0211,211.6994719,339.8496257,5483.525304
AYT-S-0212,137.1241962,222.4378597,5366.113538
AYT-S-0213,172.6291539,277.8314477,5421.507126
AYT-S-0214,169.467387,274.5197065,5418.195385
AYT-S-0215,137.2684619,220.7366375,5364.412316
AYT-S-0216,-5.935864991,-9.604835981,5134.070843
AYT-S-0217,-105.8519281,-171.8807311,4971.794947
AYT-S-0218,186.1157227,301.225748,5444.901427
AYT-S-0219,168.9127884,271.1540181,5414.829697
AYT-S-0220,280.6787744,470.157051,5613.83273
AYT-S-0221,285.7012935,445.0079728,5588.683651
AYT-S-0222,361.0377311,565.5714238,5709.247102
AYT-S-0223,9.683515167,15.17175427,5158.847433
AYT-S-0224,150.4597834,249.5597313,5393.23541
AYT-S-0225,253.1102479,410.3350392,5554.010718
AYT-S-0226,538.7112296,813.2131227,5956.888801
AYT-S-0227,-11.34735447,-17.62303278,5126.052646
AYT-S-0228,16.71905279,26.21987353,5169.895552
AYT-S-0229,647.7243204,981.7628495,6125.438528
AYT-S-0230,328.4748727,535.3892502,5679.064929
AYT-S-0231,182.4101447,295.4912485,5439.166927
AYT-S-0232,285.1899923,461.4720414,5605.14772
AYT-S-0233,3.013336007,4.875467188,5148.551146
AYT-S-0234,-457.5224331,-691.7760888,4451.89959
AYT-S-0235,110.3458097,177.1531507,5320.828829
AYT-S-0236,57.87981087,87.35772192,5231.0334
AYT-S-0237,357.889336,601.011305,5744.686984
AYT-S-0238,20.02941074,31.37338135,5175.04906
AYT-S-0239,-93.78514648,-146.8999876,4996.775691
AYT-S-0240,404.8435344,670.0653753,5813.741054
AYT-S-0241,168.9764722,285.5872559,5429.262934
AYT-S-0242,-169.495316,-275.0762604,4868.599418
AYT-S-0243,-85.40199498,-138.4347593,5005.240919
AYT-S-0244,393.3980117,667.820672,5811.496351
AYT-S-0245,118.8218945,201.0382008,5344.713879
AYT-S-0246,-163.8782521,-247.4259577,4896.249721
AYT-S-0247,-126.0394234,-203.9546254,4939.721053
AYT-S-0248,129.1669473,208.3276672,5352.003346
AYT-S-0249,311.2095797,485.7761404,5629.451819
AYT-S-0250,288.0694817,468.3728019,5612.04848
AYT-S-0251,389.5568703,589.0128114,5732.68849
AYT-S-0252,-110.5263354,-185.3198425,4958.355836
AYT-S-0253,-30.98855817,-50.26970213,5093.405976
AYT-S-0254,422.2814266,686.6484689,5830.324147
AYT-S-0255,331.456247,536.9762901,5680.651969
AYT-S-0256,-282.3892878,-426.2289245,4717.446754
AYT-S-0257,25.60772906,41.49026038,5185.165939
AYT-S-0258,169.3190582,259.7295446,5403.405223
AYT-S-0259,89.66579618,145.0871124,5288.762791
AYT-S-0260,21.88487049,34.2780053,5177.953684
AYT-S-0261,-455.9047078,-738.4250249,4405.250654
AYT-S-0262,177.302537,285.1337236,5428.809402
AYT-S-0263,265.8937112,441.7189679,5585.394646
AYT-S-0264,412.0205113,646.6281377,5790.303816
AYT-S-0265,-85.59082381,-129.1432916,5014.532387
AYT-S-0266,131.7804548,223.2361504,5366.911829
AYT-S-0267,4.58073152492502e-13,-2.84E-08,5143.675678
AYT-S-0268,-109.3783214,-171.3127695,4972.362909
AYT-S-0269,64.27923411,104.1180131,5247.793692
AYT-S-0270,143.3400346,232.2051912,5375.88087
AYT-S-0271,-74.8404205,-120.1498269,5023.525852
AYT-S-0272,-20.92407839,-32.77049552,5110.905183
AYT-S-0273,287.9650228,434.5853296,5578.261008
AYT-S-0274,-223.9001187,-347.6082365,4796.067442
AYT-S-0275,-286.2780977,-463.2320278,4680.443651
AYT-S-0276,589.7489146,946.4543601,6090.130039
AYT-S-0277,47.06078571,73.70459266,5217.380271
AYT-S-0278,-205.1328078,-321.6140948,4822.061584
AYT-S-0279,-353.9108023,-549.5759499,4594.099729
AYT-S-0280,63.27015001,103.3278707,5247.003549
AYT-S-0281,-559.4019751,-905.167669,4238.50801
AYT-S-0282,-371.3701883,-606.0730933,4537.602585
AYT-S-0283,-942.480009,-1514.049077,3629.626602
AYT-S-0284,187.1901729,302.7448703,5446.420549
AYT-S-0285,253.0411736,396.4001913,5540.07587
AYT-S-0286,-74.2785648,-112.0920924,5031.583586
AYT-S-0287,-215.2534211,-324.8516971,4818.823981
AYT-S-0288,-435.0392716,-656.5335919,4487.142087
AYT-S-0289,270.0144221,437.9888382,5581.664517
AYT-S-0290,35.81751748,57.93789813,5201.613577
AYT-S-0291,-537.7427409,-863.3951389,4280.28054
AYT-S-0292,85.63299015,138.5645706,5282.240249
AYT-S-0293,-699.2671783,-1131.814768,4011.86091
AYT-S-0294,-422.0381865,-637.9596676,4505.716011
AYT-S-0295,270.2515507,423.2671226,5566.942801
AYT-S-0296,540.4769358,874.5557176,6018.231396
AYT-S-0297,535.7979143,869.762408,6013.438087
AYT-S-0298,639.8838675,1022.237501,6165.91318
AYT-S-0299,62.48003119,104.688099,5248.363777
AYT-S-0300,110.1657214,165.3398127,5309.015491
AYT-S-0301,22.07183278,34.72891663,5178.404595
AYT-S-0302,-280.9353677,-450.9299861,4692.745692
AYT-S-0303,380.1811787,615.1754375,5758.851116
AYT-S-0304,-14.17865634,-22.00950081,5121.666178
AYT-S-0305,419.256466,656.5532556,5800.228934
AYT-S-0306,532.8721117,804.4532988,5948.128977
AYT-S-0307,233.3219932,374.5364345,5518.212113
AYT-S-0308,278.5185201,450.8274466,5594.503125
AYT-S-0309,489.2280679,785.29032,5928.965999
AYT-S-0310,414.7416823,732.2217669,5875.897445
AYT-S-0311,-336.3556046,-526.8139937,4616.861685
AYT-S-0312,104.308877,168.78192,5312.457598
AYT-S-0313,43.91949065,66.27478438,5209.950463
AYT-S-0314,-204.337935,-328.064709,4815.61097
AYT-S-0315,143.9782357,231.1014473,5374.777126
AYT-S-0316,-59.75033938,-90.17191754,5053.503761
AYT-S-0317,300.845242,482.9003739,5626.576052
AYT-S-0318,335.4353539,525.3492193,5669.024898
AYT-S-0319,346.2751329,575.2645876,5718.940266
AYT-S-0320,6.484688213,10.49565825,5154.171337
AYT-S-0321,570.377472,860.7698884,6004.445567
AYT-S-0322,374.9218106,601.8568739,5745.532552
AYT-S-0323,897.6309056,1440.949465,6584.625143
AYT-S-0324,48.50641057,78.49791826,5222.173597
AYT-S-0325,507.3536632,794.6418006,5938.317479
AYT-S-0326,240.7052652,389.5011435,5533.176822
AYT-S-0327,634.9611431,1100.239782,6243.91546
AYT-S-0328,368.0046267,590.872032,5734.547711
AYT-S-0329,959.1779664,1622.60029,6766.275968
AYT-S-0330,-190.2469267,-308.1781812,4835.497497
AYT-S-0331,408.6565755,694.1989803,5837.874659
AYT-S-0332,28.89377311,43.67052557,5187.346204
AYT-S-0333,215.1165377,345.7014481,5489.377127
AYT-S-0334,547.8512462,888.823145,6032.498824
AYT-S-0335,431.6618244,717.2635001,5860.939179
AYT-S-0336,270.1377508,437.6362941,5581.311973
AYT-S-0337,162.3595757,254.7083807,5398.384059
AYT-S-0338,-12.61105407,-19.11385795,5124.561821
AYT-S-0339,696.6323331,1121.359037,6265.034716
AYT-S-0340,-2.939964748,-4.446187242,5139.229491
AYT-S-0341,157.0882629,238.1068912,5381.78257
AYT-S-0342,105.1640003,170.3510845,5314.026763
AYT-S-0343,363.2004793,588.8332283,5732.508907
AYT-S-0344,532.3918832,861.5733291,6005.249008
AYT-S-0345,482.3078024,774.2957757,5917.971454
AYT-S-0346,65.84516557,102.6318282,5246.307507
AYT-S-0347,259.6822875,439.8025258,5583.478204
AYT-S-0348,654.0576258,1049.912319,6193.587998
AYT-S-0349,-39.36064604,-63.18738905,5080.488289
AYT-S-0350,-339.3343722,-512.2632488,4631.41243
AYT-S-0351,425.6303965,666.6015691,5810.277248
AYT-S-0352,544.3189829,912.8517889,6056.527467
AYT-S-0353,314.1524835,532.4828603,5676.158539
AYT-S-0354,392.1446545,629.5051628,5773.180841
AYT-S-0355,258.1564021,414.3763509,5558.052029
AYT-S-0356,323.6298055,506.9810093,5650.656688
AYT-S-0357,-237.786889,-384.8931576,4758.782521
AYT-S-0358,339.7014294,512.6898295,5656.365508
AYT-S-0359,578.6940405,928.8481928,6072.523871
AYT-S-0360,392.6432102,630.7709875,5774.446666
AYT-S-0361,-235.2488754,-390.8123452,4752.863333
AYT-S-0362,-15.57752329,-25.0017322,5118.673946
AYT-S-0363,59.97899996,99.24197739,5242.917656
