"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"A1257",2,1.7209,1.72049,1.67369,1.68479,1.60956,1.6988,1.74181,1.74125,1.75279,1.71408,1.71865,1.70386,1.78757,1.7626,1.75596,1.66467,1.67552,1.68461,1.7054,1.64963,1.71041,1.71979,1.71895,1.71683,1.64285,1.71659,1.76845,1.68076,1.74332,1.71268,1.70203,1.70695,1.68652,1.69661,1.71964,1.66089,1.71948,1.73046,1.74779,1.71511,1.74306,1.70896,1.68053,1.71004,1.71609,1.70645,1.71006,1.65073,1.76541,1.72085,1.71322,1.71868,1.71151,1.68464,1.74732,1.67644,1.65985,1.67863,1.69716,1.71687,1.69124,1.66766,1.71711,1.69069,1.65691,1.68163,1.69461,1.67463,1.63943,1.65071,1.66993,1.69987,1.70685,1.67646,1.75988,1.62611,1.71792,1.7168,1.65479,1.7074,1.66506,1.69861,1.55046,1.69235,1.64798,1.64645,1.64909,1.64965,1.64831,1.63466,1.65028,1.64347,1.64941,1.68932,1.64662,1.69214,1.68799,1.69415,1.66074,1.70803,1.65506,1.70794,1.6642,1.68732,1.67924,1.72499
"A1258",1.7209,2,1.71961,1.68411,1.65465,1.5474,1.67086,1.73384,1.69768,1.69,1.72196,1.71137,1.67018,1.76382,1.78363,1.74543,1.7216,1.73402,1.7027,1.7415,1.68815,1.70953,1.66464,1.66115,1.66158,1.7188,1.6663,1.69394,1.63688,1.66094,1.70448,1.69062,1.67168,1.70113,1.64342,1.68136,1.61976,1.61936,1.63051,1.7503,1.71631,1.70454,1.69143,1.63479,1.73794,1.62406,1.63553,1.70794,1.65473,1.65435,1.69458,1.67443,1.65586,1.68954,1.6752,1.68585,1.6416,1.60069,1.60662,1.68078,1.73289,1.64013,1.59681,1.76333,1.59974,1.60383,1.63697,1.64721,1.74198,1.60679,1.64093,1.75763,1.7302,1.76076,1.6656,1.75427,1.57314,1.78643,1.71708,1.68601,1.62405,1.58342,1.66236,1.57655,1.61794,1.64485,1.64378,1.64754,1.64796,1.64516,1.65766,1.64105,1.66499,1.64758,1.64782,1.64679,1.66278,1.63857,1.66441,1.67497,1.6231,1.63549,1.62986,1.59033,1.67398,1.67366,1.69472
"A1259",1.72049,1.71961,2,1.6015,1.64428,1.54551,1.64786,1.79114,1.65918,1.67475,1.68279,1.67585,1.66731,1.78262,1.75491,1.82041,1.65411,1.65197,1.64712,1.6418,1.56936,1.61105,1.61302,1.61394,1.61601,1.5982,1.62744,1.66401,1.59686,1.67607,1.63881,1.63711,1.61614,1.64395,1.65402,1.84425,1.63927,1.6494,1.64385,1.70102,1.64287,1.81774,1.65536,1.70548,1.67957,1.64096,1.65192,1.66322,1.62556,1.64003,1.63288,1.65817,1.60997,1.66212,1.61851,1.67146,1.58282,1.6714,1.69347,1.74475,1.6633,1.59616,1.59939,1.709,1.5928,1.60275,1.62827,1.61795,1.61297,1.5797,1.59839,1.72711,1.66121,1.7319,1.66993,1.79258,1.60228,1.63065,1.65057,1.63366,1.59868,1.57849,1.6017,1.47214,1.65101,1.55554,1.55428,1.55867,1.55823,1.55566,1.61194,1.59163,1.55833,1.55684,1.62502,1.59062,1.71679,1.64764,1.60595,1.6214,1.6245,1.58623,1.63147,1.58357,1.64054,1.64072,1.62286
"A1260",1.67369,1.68411,1.6015,2,1.66957,1.5426,1.70132,1.68698,1.78947,1.74271,1.7206,1.73795,1.67683,1.67663,1.70955,1.64546,1.72904,1.74647,1.70457,1.64983,1.61672,1.63261,1.68594,1.68191,1.68813,1.62111,1.68895,1.72757,1.66841,1.61472,1.74001,1.79359,1.76819,1.80404,1.64153,1.62261,1.67829,1.62746,1.61672,1.85425,1.79518,1.58775,1.77362,1.56517,1.82647,1.62653,1.63876,1.76321,1.68504,1.65777,1.76408,1.75043,1.64763,1.74986,1.72115,1.75608,1.63123,1.58788,1.59948,1.60434,1.84109,1.73166,1.62676,1.69917,1.61889,1.61649,1.62702,1.6338,1.63418,1.61995,1.60463,1.63326,1.63932,1.72977,1.66676,1.72088,1.61655,1.69708,1.7014,1.58978,1.6091,1.61814,1.64723,1.4962,1.59804,1.58268,1.58227,1.5862,1.58565,1.58319,1.59122,1.57177,1.59526,1.58316,1.60093,1.63985,1.62945,1.58038,1.68073,1.73497,1.66951,1.62286,1.61164,1.57934,1.68421,1.73703,1.65364
"A1261",1.68479,1.65465,1.64428,1.66957,2,1.67498,1.61956,1.66664,1.67051,1.66971,1.70289,1.70909,1.71469,1.62653,1.64833,1.63899,1.64045,1.61171,1.64591,1.62795,1.60055,1.6196,1.71409,1.71418,1.71471,1.61562,1.73919,1.71524,1.61019,1.58323,1.66187,1.62911,1.61781,1.65323,1.62184,1.63955,1.61295,1.57459,1.60272,1.73024,1.64776,1.62144,1.64373,1.54458,1.68133,1.69796,1.66235,1.67848,1.64094,1.63723,1.63797,1.59712,1.66324,1.68219,1.62428,1.66197,1.59905,1.58071,1.56976,1.60787,1.67157,1.68141,1.56888,1.62708,1.60076,1.58769,1.61957,1.61753,1.62751,1.5535,1.5987,1.60808,1.61391,1.63894,1.63546,1.69531,1.55453,1.67851,1.63391,1.56087,1.70172,1.69206,1.67394,1.52091,1.61457,1.58485,1.58384,1.58781,1.58659,1.58539,1.54891,1.59081,1.58491,1.58738,1.67014,1.61967,1.5981,1.62912,1.6033,1.65362,1.60722,1.60922,1.72121,1.57514,1.6789,1.65177,1.6221
"A1262",1.60956,1.5474,1.54551,1.5426,1.67498,2,1.60346,1.58562,1.59865,1.59518,1.60327,1.60356,1.62963,1.54401,1.58437,1.51954,1.58656,1.5603,1.56445,1.55738,1.58006,1.59946,1.5927,1.59552,1.5895,1.60593,1.58335,1.57606,1.55464,1.52127,1.61291,1.59914,1.58078,1.53248,1.6097,1.55038,1.55609,1.62317,1.58891,1.59096,1.54872,1.5465,1.57946,1.5681,1.58433,1.71395,1.62301,1.55612,1.59902,1.54449,1.52179,1.58308,1.59117,1.57622,1.57562,1.53494,1.566,1.56755,1.59682,1.59962,1.59602,1.58398,1.60892,1.5509,1.58206,1.57899,1.65885,1.63065,1.58773,1.52069,1.61158,1.57868,1.55047,1.55975,1.58603,1.59939,1.59366,1.61757,1.63019,1.53605,1.55894,1.56762,1.52343,1.42472,1.50122,1.55562,1.55446,1.55743,1.55661,1.55492,1.51163,1.57675,1.58456,1.55738,1.59387,1.55049,1.48491,1.5444,1.55342,1.54566,1.57696,1.65464,1.60983,1.56469,1.57169,1.58691,1.6169
"A1263",1.6988,1.67086,1.64786,1.70132,1.61956,1.60346,2,1.67386,1.70602,1.71648,1.6839,1.67472,1.64306,1.70177,1.71231,1.67659,1.67502,1.67141,1.67768,1.65773,1.63292,1.64877,1.72972,1.72887,1.72693,1.64858,1.70308,1.70414,1.69361,1.66308,1.71236,1.69008,1.69232,1.66933,1.67577,1.66169,1.70684,1.66641,1.61416,1.73284,1.70969,1.62535,1.68304,1.67464,1.7377,1.6745,1.68725,1.72523,1.71775,1.70707,1.65061,1.73806,1.6474,1.72922,1.71623,1.68835,1.67224,1.67751,1.68536,1.66298,1.71994,1.64381,1.72985,1.65682,1.67077,1.66856,1.67922,1.70612,1.61088,1.703,1.58891,1.67506,1.67572,1.70528,1.68225,1.74907,1.73161,1.6754,1.67858,1.63753,1.61226,1.59996,1.6177,1.53616,1.67812,1.61379,1.61223,1.61524,1.61474,1.61357,1.65,1.60735,1.62615,1.61518,1.64698,1.64866,1.64135,1.61938,1.65013,1.65144,1.66073,1.61869,1.66235,1.58825,1.67553,1.67296,1.70404
"A1264",1.74181,1.73384,1.79114,1.68698,1.66664,1.58562,1.67386,2,1.73804,1.70782,1.72024,1.70551,1.69687,1.75536,1.73315,1.75194,1.6776,1.6802,1.65624,1.69425,1.61317,1.6528,1.68267,1.68032,1.67816,1.62376,1.68124,1.70454,1.64102,1.68963,1.66162,1.70121,1.67566,1.70142,1.66408,1.76866,1.64476,1.63109,1.63927,1.75214,1.68386,1.80754,1.68357,1.6498,1.72231,1.69978,1.68311,1.69002,1.65053,1.66018,1.67992,1.66942,1.67338,1.71786,1.68419,1.70824,1.61759,1.68426,1.68594,1.68976,1.7276,1.62023,1.63412,1.73107,1.61832,1.62273,1.68702,1.64691,1.6501,1.60552,1.64161,1.70369,1.65163,1.71709,1.67087,1.77058,1.61588,1.66963,1.67511,1.5911,1.64577,1.59869,1.63402,1.50315,1.63182,1.56893,1.56745,1.57072,1.5706,1.56854,1.62154,1.60904,1.56728,1.56988,1.66941,1.63056,1.70676,1.65673,1.63213,1.69876,1.66899,1.64485,1.69655,1.59392,1.65445,1.69035,1.65093
"A1265",1.74125,1.69768,1.65918,1.78947,1.67051,1.59865,1.70602,1.73804,2,1.74468,1.74121,1.74308,1.71693,1.70819,1.71813,1.68003,1.70011,1.70765,1.70176,1.68552,1.64209,1.648,1.66787,1.66464,1.66404,1.64728,1.66019,1.69426,1.62624,1.69851,1.74051,1.81377,1.79317,1.7726,1.69239,1.66389,1.65775,1.72608,1.69943,1.82535,1.7407,1.6617,1.80344,1.62468,1.79506,1.6589,1.65892,1.74824,1.70729,1.67434,1.75274,1.75088,1.68131,1.74352,1.70766,1.76375,1.64878,1.62516,1.65157,1.63134,1.79078,1.7222,1.6762,1.73047,1.61035,1.65479,1.68534,1.64522,1.68973,1.62592,1.65412,1.63664,1.6537,1.71957,1.65835,1.73457,1.62318,1.69268,1.69819,1.59189,1.63428,1.60242,1.61783,1.5154,1.6523,1.61237,1.61154,1.61554,1.61614,1.61321,1.60489,1.62845,1.61973,1.61453,1.6695,1.60171,1.68485,1.63041,1.7303,1.75164,1.72215,1.69022,1.67077,1.64196,1.67496,1.76425,1.6551
"A1267",1.75279,1.69,1.67475,1.74271,1.66971,1.59518,1.71648,1.70782,1.74468,2,1.74109,1.75605,1.69731,1.73746,1.74083,1.7226,1.67819,1.68781,1.68537,1.67395,1.6114,1.64983,1.71639,1.7142,1.71241,1.62881,1.70284,1.71137,1.68634,1.65527,1.74697,1.7286,1.72498,1.72113,1.65664,1.71713,1.75033,1.70553,1.66308,1.82037,1.72257,1.67513,1.75714,1.6704,1.75944,1.66188,1.76546,1.8104,1.75,1.72391,1.72198,1.76731,1.71772,1.75807,1.73515,1.74783,1.70402,1.6876,1.69014,1.6744,1.76516,1.70019,1.70758,1.70112,1.69259,1.73203,1.68189,1.70436,1.6579,1.66292,1.59215,1.68906,1.69879,1.75958,1.71755,1.80243,1.67502,1.69537,1.70518,1.64538,1.65442,1.62915,1.66213,1.55958,1.67927,1.62759,1.62709,1.63051,1.63043,1.62924,1.60862,1.61041,1.65809,1.62944,1.65787,1.65217,1.6847,1.67253,1.66057,1.69665,1.74912,1.65371,1.67305,1.62974,1.74576,1.77525,1.71232
"A1268",1.71408,1.72196,1.68279,1.7206,1.70289,1.60327,1.6839,1.72024,1.74121,1.74109,2,1.84729,1.8077,1.73123,1.7256,1.69574,1.73454,1.70705,1.71425,1.65619,1.65447,1.68482,1.6857,1.69006,1.68238,1.68727,1.68425,1.74836,1.71892,1.62579,1.73734,1.70844,1.67311,1.71195,1.62355,1.67478,1.64898,1.65809,1.64928,1.81624,1.70463,1.66472,1.72574,1.64105,1.75812,1.67623,1.65071,1.72502,1.66376,1.65511,1.6947,1.71999,1.70693,1.69283,1.66564,1.73239,1.63325,1.66401,1.67392,1.65063,1.75539,1.69773,1.62533,1.70913,1.65476,1.62626,1.65572,1.65664,1.61067,1.59181,1.58765,1.6597,1.6414,1.71767,1.6277,1.72785,1.6089,1.68969,1.6845,1.61176,1.67365,1.62722,1.66596,1.5364,1.62451,1.5882,1.58679,1.59064,1.59037,1.58849,1.61989,1.58124,1.59482,1.59014,1.6406,1.60713,1.66392,1.59725,1.64909,1.72106,1.66847,1.58617,1.65755,1.57081,1.70359,1.68252,1.69283
"A1269",1.71865,1.71137,1.67585,1.73795,1.70909,1.60356,1.67472,1.70551,1.74308,1.75605,1.84729,2,1.92626,1.72365,1.7421,1.70756,1.74191,1.72234,1.72909,1.6472,1.67317,1.68128,1.73402,1.73723,1.73193,1.68067,1.73602,1.76045,1.69564,1.62358,1.69994,1.7323,1.71556,1.75759,1.65652,1.67084,1.65276,1.6254,1.62732,1.87075,1.71745,1.66248,1.72594,1.64037,1.80781,1.67128,1.67903,1.75669,1.67885,1.67115,1.74789,1.73232,1.71676,1.70231,1.6873,1.73815,1.65764,1.66186,1.65315,1.65965,1.76932,1.79313,1.6434,1.74233,1.63318,1.64409,1.66948,1.6787,1.63846,1.5988,1.57067,1.65333,1.65145,1.71973,1.65859,1.74854,1.61947,1.69439,1.70838,1.61908,1.68972,1.68331,1.66089,1.57227,1.65024,1.62323,1.62113,1.62589,1.62496,1.62312,1.60674,1.62391,1.60845,1.62481,1.65955,1.66855,1.64101,1.62721,1.65052,1.66458,1.67215,1.55346,1.70616,1.55403,1.7459,1.6921,1.67387
"A1270",1.70386,1.67018,1.66731,1.67683,1.71469,1.62963,1.64306,1.69687,1.71693,1.69731,1.8077,1.92626,2,1.67766,1.68727,1.66338,1.69193,1.66322,1.67599,1.62664,1.62737,1.63853,1.69666,1.70006,1.69476,1.63448,1.68381,1.70758,1.64629,1.61717,1.65334,1.68801,1.6695,1.71058,1.68727,1.66052,1.62003,1.6069,1.65372,1.80461,1.66629,1.68767,1.66432,1.60762,1.74853,1.71424,1.67279,1.69186,1.63045,1.62541,1.68722,1.6677,1.67133,1.6499,1.63744,1.67935,1.61055,1.65043,1.64178,1.61587,1.72119,1.73721,1.59932,1.70046,1.6159,1.59525,1.64844,1.64372,1.5892,1.55801,1.60043,1.63434,1.6082,1.66589,1.61603,1.68994,1.58725,1.64656,1.6669,1.57405,1.69439,1.67856,1.60754,1.52137,1.59188,1.5732,1.57166,1.57603,1.57516,1.57315,1.59558,1.60444,1.56228,1.57511,1.64223,1.62064,1.59041,1.64028,1.62003,1.6893,1.62485,1.59922,1.7331,1.59174,1.68614,1.64547,1.62941
"A1272",1.78757,1.76382,1.78262,1.67663,1.62653,1.54401,1.70177,1.75536,1.70819,1.73746,1.73123,1.72365,1.67766,2,1.80018,1.8924,1.69969,1.71708,1.68393,1.67547,1.64173,1.70903,1.65984,1.66407,1.65771,1.68828,1.64281,1.72341,1.68692,1.7085,1.70095,1.7087,1.69097,1.70346,1.71138,1.75963,1.69119,1.68847,1.65714,1.74779,1.73417,1.7236,1.70765,1.66341,1.7262,1.67137,1.69763,1.72191,1.66815,1.68711,1.6719,1.72077,1.68978,1.7018,1.69112,1.74042,1.66455,1.69676,1.70123,1.71389,1.72044,1.65772,1.65424,1.76632,1.6601,1.68082,1.65603,1.6776,1.67037,1.66162,1.65454,1.75965,1.68591,1.768,1.68854,1.79249,1.65165,1.69167,1.70651,1.63975,1.64368,1.6031,1.65483,1.5383,1.66966,1.61917,1.61826,1.62248,1.62199,1.61984,1.65258,1.60949,1.63479,1.62091,1.6477,1.6053,1.71771,1.68621,1.68996,1.65018,1.67619,1.63424,1.62616,1.62037,1.67546,1.68999,1.71731
"A1273",1.7626,1.78363,1.75491,1.70955,1.64833,1.58437,1.71231,1.73315,1.71813,1.74083,1.7256,1.7421,1.68727,1.80018,2,1.82526,1.72281,1.78964,1.73356,1.72093,1.70366,1.80073,1.69416,1.69537,1.69095,1.69586,1.70538,1.71666,1.66877,1.68168,1.74648,1.74892,1.72454,1.71807,1.69316,1.74394,1.65969,1.66805,1.66617,1.77598,1.72806,1.74953,1.75761,1.68815,1.7519,1.68224,1.70251,1.73176,1.70487,1.69029,1.70342,1.73182,1.70354,1.74039,1.74601,1.73979,1.68674,1.6843,1.71556,1.73946,1.79359,1.68665,1.66636,1.78354,1.6757,1.67691,1.68089,1.67036,1.76307,1.68449,1.69512,1.7646,1.78114,1.81307,1.71498,1.80195,1.6258,1.71934,1.73827,1.74012,1.64824,1.58774,1.66479,1.57972,1.68847,1.66012,1.65928,1.66343,1.66338,1.66097,1.66923,1.64809,1.66757,1.66242,1.66629,1.6279,1.708,1.67211,1.70946,1.66628,1.66802,1.6303,1.64226,1.59376,1.69754,1.70371,1.72764
"A1274",1.75596,1.74543,1.82041,1.64546,1.63899,1.51954,1.67659,1.75194,1.68003,1.7226,1.69574,1.70756,1.66338,1.8924,1.82526,2,1.69011,1.71305,1.68532,1.67922,1.62987,1.68344,1.64247,1.64641,1.64499,1.65753,1.64977,1.68791,1.65711,1.71206,1.67679,1.67417,1.65703,1.70063,1.70814,1.77792,1.66182,1.6701,1.65471,1.72945,1.67783,1.75768,1.69598,1.68823,1.70176,1.62073,1.67333,1.68983,1.65693,1.65501,1.65428,1.67705,1.64905,1.6777,1.68253,1.70753,1.65171,1.68637,1.71262,1.71376,1.69757,1.63153,1.62826,1.75024,1.63358,1.65131,1.63646,1.65344,1.67256,1.65067,1.64802,1.75239,1.71142,1.7674,1.68998,1.80795,1.63027,1.67148,1.664,1.66475,1.63314,1.60189,1.65434,1.55974,1.68346,1.61126,1.61048,1.61439,1.61347,1.6116,1.65011,1.61382,1.61147,1.61282,1.64924,1.61617,1.71249,1.6967,1.66824,1.62592,1.67351,1.60207,1.62686,1.59067,1.67034,1.66074,1.68335
"A1275",1.66467,1.7216,1.65411,1.72904,1.64045,1.58656,1.67502,1.6776,1.70011,1.67819,1.73454,1.74191,1.69193,1.69969,1.72281,1.69011,2,1.83667,1.86148,1.62859,1.61591,1.63064,1.64691,1.65004,1.64603,1.6288,1.65262,1.67618,1.63101,1.60709,1.66123,1.67842,1.6613,1.78045,1.62356,1.64842,1.65956,1.63923,1.64725,1.76905,1.736,1.64731,1.69954,1.61128,1.77151,1.63252,1.64661,1.69904,1.64254,1.65179,1.70743,1.67727,1.63607,1.6593,1.66448,1.71918,1.63638,1.64462,1.66074,1.61902,1.75417,1.66845,1.62263,1.72733,1.60575,1.61638,1.6109,1.6596,1.62004,1.59707,1.58004,1.64897,1.62643,1.72405,1.65466,1.70892,1.62802,1.72182,1.70171,1.58957,1.60584,1.59491,1.60119,1.51197,1.61484,1.54099,1.53958,1.54325,1.54323,1.54079,1.61705,1.55438,1.57488,1.5434,1.63896,1.63504,1.59632,1.60958,1.64736,1.65146,1.64327,1.5978,1.61781,1.56449,1.66074,1.65997,1.64628
"A1276",1.67552,1.73402,1.65197,1.74647,1.61171,1.5603,1.67141,1.6802,1.70765,1.68781,1.70705,1.72234,1.66322,1.71708,1.78964,1.71305,1.83667,2,1.85082,1.64588,1.63617,1.64919,1.64234,1.64081,1.64217,1.61946,1.65632,1.6619,1.64785,1.61873,1.68908,1.72495,1.69246,1.78094,1.63619,1.65628,1.62637,1.63146,1.66059,1.79423,1.75043,1.6609,1.73879,1.61781,1.79199,1.6455,1.65972,1.71484,1.66035,1.66077,1.73651,1.70862,1.64424,1.70088,1.7373,1.72143,1.64878,1.656,1.66861,1.61442,1.78765,1.67727,1.64159,1.75608,1.62431,1.63369,1.65204,1.64908,1.6338,1.63413,1.62841,1.66172,1.63192,1.771,1.65726,1.71986,1.59514,1.73839,1.70823,1.58073,1.59125,1.56015,1.61507,1.52286,1.63094,1.56368,1.56264,1.56568,1.5655,1.56359,1.63196,1.56925,1.58768,1.56444,1.63496,1.62939,1.61183,1.5877,1.67019,1.6853,1.62855,1.59867,1.5997,1.57656,1.65421,1.70005,1.65039
"A1277",1.68461,1.7027,1.64712,1.70457,1.64591,1.56445,1.67768,1.65624,1.70176,1.68537,1.71425,1.72909,1.67599,1.68393,1.73356,1.68532,1.86148,1.85082,2,1.62784,1.61612,1.63771,1.64555,1.6475,1.64402,1.62648,1.6714,1.68016,1.63605,1.61451,1.65313,1.66439,1.6701,1.77212,1.62638,1.64153,1.62711,1.6205,1.65353,1.7513,1.73937,1.66513,1.68879,1.61346,1.76485,1.61926,1.65757,1.7086,1.64224,1.65445,1.70188,1.66335,1.63342,1.68237,1.66785,1.70446,1.65431,1.65992,1.66923,1.61614,1.7611,1.68356,1.63699,1.71126,1.60498,1.63376,1.6479,1.6524,1.61997,1.59822,1.59818,1.63783,1.6304,1.72397,1.64994,1.70672,1.60762,1.71579,1.7048,1.59873,1.59894,1.61293,1.61768,1.54687,1.66113,1.56562,1.56404,1.56816,1.56819,1.56592,1.63681,1.58615,1.56874,1.56722,1.63074,1.65989,1.598,1.59209,1.64791,1.62601,1.67047,1.56819,1.62894,1.55314,1.67297,1.6619,1.65118
"A1279",1.7054,1.7415,1.6418,1.64983,1.62795,1.55738,1.65773,1.69425,1.68552,1.67395,1.65619,1.6472,1.62664,1.67547,1.72093,1.67922,1.62859,1.64588,1.62784,2,1.62826,1.68845,1.67949,1.67413,1.67761,1.66699,1.6718,1.66392,1.58348,1.64465,1.67033,1.68265,1.67112,1.66774,1.62905,1.63307,1.6111,1.61812,1.61916,1.67653,1.65417,1.66037,1.66717,1.59267,1.68484,1.67348,1.63087,1.64876,1.62492,1.63424,1.63499,1.62206,1.62834,1.66686,1.66791,1.62745,1.61604,1.58881,1.60643,1.61924,1.70495,1.61409,1.61733,1.6529,1.58991,1.56188,1.60296,1.61426,1.70721,1.62513,1.6337,1.67644,1.71332,1.66727,1.67156,1.72015,1.57552,1.7011,1.64523,1.6544,1.62279,1.5728,1.63989,1.55746,1.62767,1.6323,1.63183,1.63489,1.63511,1.6327,1.63489,1.65231,1.60544,1.63347,1.66015,1.60721,1.60015,1.66157,1.66871,1.61258,1.62471,1.61364,1.62151,1.56621,1.63828,1.66272,1.68437
"A1302",1.64963,1.68815,1.56936,1.61672,1.60055,1.58006,1.63292,1.61317,1.64209,1.6114,1.65447,1.67317,1.62737,1.64173,1.70366,1.62987,1.61591,1.63617,1.61612,1.62826,2,1.7184,1.63632,1.63489,1.6368,1.82942,1.64896,1.66057,1.68085,1.59127,1.68559,1.64458,1.64966,1.65188,1.65276,1.59854,1.57896,1.59707,1.58568,1.69101,1.62646,1.55723,1.68911,1.56069,1.65998,1.65554,1.62693,1.61628,1.59624,1.62303,1.64759,1.60006,1.63561,1.6156,1.64813,1.66371,1.65091,1.56848,1.58449,1.56653,1.67225,1.64769,1.58164,1.65881,1.59977,1.61183,1.61995,1.6253,1.67863,1.65554,1.64885,1.6492,1.66583,1.65645,1.59636,1.64434,1.56495,1.72225,1.65576,1.61456,1.61399,1.5773,1.67384,1.54925,1.58033,1.61727,1.61521,1.61964,1.61914,1.61612,1.6136,1.60655,1.62307,1.61901,1.57957,1.56699,1.59859,1.59872,1.63606,1.57387,1.57848,1.57448,1.62408,1.55523,1.60682,1.58488,1.6196
"A1304",1.71041,1.70953,1.61105,1.63261,1.6196,1.59946,1.64877,1.6528,1.648,1.64983,1.68482,1.68128,1.63853,1.70903,1.80073,1.68344,1.63064,1.64919,1.63771,1.68845,1.7184,2,1.67956,1.6824,1.67619,1.73287,1.65963,1.68736,1.62295,1.62296,1.6963,1.66667,1.65498,1.62359,1.64007,1.62464,1.59434,1.60955,1.58154,1.6919,1.66296,1.59731,1.65593,1.57159,1.64257,1.68367,1.66276,1.65751,1.61312,1.66054,1.61158,1.64003,1.68089,1.66624,1.66344,1.65108,1.65152,1.6105,1.61633,1.66357,1.69954,1.65153,1.61063,1.66531,1.60053,1.62884,1.64418,1.62198,1.70013,1.62532,1.6623,1.68771,1.7182,1.68869,1.66419,1.71177,1.58202,1.69453,1.6918,1.66091,1.62252,1.56643,1.70227,1.55925,1.61321,1.65393,1.65256,1.6556,1.65526,1.65305,1.62158,1.6285,1.63193,1.65526,1.6173,1.61273,1.59358,1.63568,1.63679,1.58403,1.62813,1.58635,1.62199,1.54531,1.62147,1.61534,1.70902
"A1307",1.71979,1.66464,1.61302,1.68594,1.71409,1.5927,1.72972,1.68267,1.66787,1.71639,1.6857,1.73402,1.69666,1.65984,1.69416,1.64247,1.64691,1.64234,1.64555,1.67949,1.63632,1.67956,2,1.98368,1.9864,1.67154,1.91555,1.80484,1.65137,1.63984,1.66532,1.65112,1.64688,1.64374,1.61169,1.6356,1.63485,1.60029,1.61506,1.75593,1.70038,1.62972,1.65965,1.60246,1.71651,1.6964,1.67687,1.71677,1.65979,1.72092,1.65884,1.65828,1.72122,1.68945,1.66604,1.67492,1.65463,1.59072,1.57986,1.62913,1.69327,1.73032,1.63295,1.64651,1.62562,1.62581,1.63769,1.67211,1.62497,1.58897,1.56109,1.62184,1.6635,1.66401,1.68518,1.71918,1.59507,1.67472,1.67487,1.6062,1.71136,1.69218,1.6997,1.5348,1.66926,1.61409,1.61274,1.61622,1.615,1.61372,1.56079,1.5919,1.61436,1.6161,1.77425,1.67729,1.6204,1.62029,1.61254,1.61893,1.63296,1.59205,1.73845,1.60975,1.69917,1.66869,1.68941
"A1309",1.71895,1.66115,1.61394,1.68191,1.71418,1.59552,1.72887,1.68032,1.66464,1.7142,1.69006,1.73723,1.70006,1.66407,1.69537,1.64641,1.65004,1.64081,1.6475,1.67413,1.63489,1.6824,1.98368,2,1.97788,1.67456,1.90677,1.80627,1.64893,1.63794,1.66428,1.64664,1.64369,1.63973,1.60948,1.635,1.63357,1.59749,1.61083,1.75263,1.69366,1.62883,1.65424,1.6033,1.71213,1.70155,1.67445,1.71362,1.6571,1.71707,1.65594,1.65517,1.7167,1.68636,1.66328,1.67218,1.64988,1.59499,1.58434,1.6308,1.689,1.73282,1.63622,1.64461,1.62383,1.62317,1.63613,1.67536,1.62228,1.58673,1.5572,1.61818,1.66165,1.66328,1.68754,1.72508,1.59874,1.67134,1.67677,1.6062,1.71377,1.69443,1.70155,1.53727,1.66533,1.61265,1.61143,1.61457,1.61347,1.61236,1.55905,1.59058,1.61488,1.61492,1.77708,1.67623,1.61874,1.62247,1.61043,1.61398,1.63862,1.58883,1.73512,1.60794,1.69456,1.66524,1.68564
"A1310",1.71683,1.66158,1.61601,1.68813,1.71471,1.5895,1.72693,1.67816,1.66404,1.71241,1.68238,1.73193,1.69476,1.65771,1.69095,1.64499,1.64603,1.64217,1.64402,1.67761,1.6368,1.67619,1.9864,1.97788,2,1.66832,1.91532,1.80632,1.64763,1.63629,1.66226,1.64725,1.64502,1.64262,1.60954,1.63646,1.63132,1.59615,1.60989,1.7538,1.69803,1.62549,1.65582,1.59718,1.71273,1.6924,1.67239,1.71445,1.65614,1.71654,1.65721,1.65387,1.71636,1.68615,1.6627,1.67488,1.65145,1.58758,1.57669,1.62425,1.69073,1.72932,1.63163,1.64266,1.6234,1.62182,1.63405,1.66931,1.62026,1.58582,1.5577,1.61818,1.66022,1.65817,1.68356,1.71934,1.59167,1.67425,1.67377,1.6009,1.71531,1.69513,1.70249,1.53241,1.67073,1.61343,1.61221,1.61531,1.61442,1.61275,1.55644,1.59182,1.61385,1.6151,1.77019,1.67402,1.61566,1.61741,1.6093,1.61603,1.63046,1.58721,1.73437,1.60773,1.69676,1.6629,1.68527
