"","Line","Env","y.pheno"
"608","A1317",6,1963
"609","A1318",6,2254.66666666667
"610","A1319",6,1796.66666666667
"611","A1320",6,1463.66666666667
"612","A1268",6,2765.66666666667
"613","M1362",6,1802.33333333333
"614","M1363",6,1915.33333333333
"615","M1347",6,2185.66666666667
"616","M1364",6,2437
"617","M1365",6,2368
"618","M1368",6,2372.33333333333
"619","M1366",6,1948.66666666667
"620","B1216",6,2371.66666666667
"621","B1007",6,2573.33333333333
"622","B1008",6,2146.66666666667
"623","B1009",6,2611
"624","B1158",6,1995
"625","B1159",6,2115
"626","B1160",6,2270.33333333333
"627","B1110",6,2151
"628","B1111",6,1819.33333333333
"629","B1161",6,1967
"630","B1062",6,2680.33333333333
"631","B1010",6,2406.33333333333
"632","B1217",6,2351.33333333333
"633","B1218",6,2977
"634","B1219",6,2224.33333333333
"635","B1220",6,2379
"636","B1058",6,2114.33333333333
"637","B1060",6,1825.33333333333
"638","B1061",6,2047.33333333333
"639","B1012",6,2587
"640","B1019",6,2870
"641","B1075",6,2371.66666666667
"642","A1259",6,2336
"643","M1463",7,2980
"644","A1257",7,2581
"645","A1258",7,3405.5
"646","A1302",7,2813.5
"647","M1464",7,2713
"648","A1261",7,3125.5
"649","A1262",7,3580
"650","M1467",7,3103.5
"651","B1053",7,3388
"652","A1260",7,3541
"653","M1465",7,2515
"654","M1469",7,3225
"655","A1304",7,3079.5
"656","M1471",7,3121.5
"657","A1263",7,3327
"658","B1201",7,2221
"659","B1202",7,3806.5
"660","B1203",7,3143
"661","B1102",7,2956.5
"662","B1205",7,3748.5
"663","B1151",7,3285
"664","B1206",7,3581.5
"665","B1152",7,3158
"666","B1207",7,3390.5
"667","B1208",7,2855
"668","A1307",7,3083
"669","A1309",7,3493
"670","A1310",7,3641
"671","A1313",7,2726.5
"672","A1314",7,2557.5
"673","A1311",7,2696.5
"674","A1312",7,3370
"675","M1345",7,2087.5
"676","M1351",7,2955
"677","M1353",7,3630.5
"678","M1354",7,3058
"679","M1356",7,3285
