Hybrid_name,Year,GY_Optimal,PH_Optimal,AD_Optimal,GY_Drought,PH_Drought,AD_Drought
852409,2017,5.7408,227.07,67.312,4.3739,227.63,65.9169
852410,2017,5.9036,226.43,64.2808,4.7229,220.52,60.9422
852412,2017,3.569,213.12,65.0522,2.6398,198.59,58.5323
852413,2017,5.1668,223.11,64.7522,4.2608,217.55,63.7875
852415,2017,4.8939,223.78,64.2136,3.6873,221.13,62.4402
852416,2017,5.6555,221.66,65.8967,3.9797,210.45,66.1472
852417,2017,5.3505,244.94,66.2718,4.0179,220.77,63.7821
852418,2017,4.9424,228.49,64.5353,3.7343,213.85,59.2021
852419,2017,5.0308,225.06,65.6929,4.4687,227.13,63.5963
852420,2017,5.1621,226.65,67.4186,3.5352,226.7,65.2574
852421,2017,4.9617,230.41,65.248,3.7291,216.47,63.7109
852422,2017,5.5606,223.71,67.1805,3.3124,217.21,64.1073
852423,2017,4.9827,228.18,66.6192,3.5945,211.92,65.535
852424,2017,4.6371,239.81,65.0209,5.2449,234.97,62.9912
852425,2017,5.2017,233.61,66.4201,3.2726,214.85,65.0247
852426,2017,6.2186,222.62,65.5891,3.608,203.26,62.653
852427,2017,6.3416,238.01,65.7481,4.2723,218,64.155
852429,2017,5.5683,229.34,65.9057,2.9385,199.75,65.4917
852436,2017,4.9557,224.17,66.0827,3.3952,207.42,63.5242
852437,2017,4.9579,220.33,65.4815,2.6033,204.87,62.5403
852438,2017,4.6122,232.81,64.7991,4.6378,216.93,63.2008
852439,2017,6.7291,240.29,65.2227,2.9794,213.65,64.8991
852441,2017,5.0625,221.7,67.0261,3.7361,224.07,63.087
852443,2017,5.4576,240.77,65.0945,4.3914,220.31,63.4471
852444,2017,5.2023,222.71,63.256,3.3746,219.63,63.9055
852445,2017,5.7772,229.45,66.2211,4.0305,218.65,63.8331
852449,2017,5.2507,225.44,65.0877,3.9145,229.69,61.9315
852452,2017,5.1846,225.89,65.5985,3.1992,215.93,63.6218
852455,2017,5.4755,228.76,67.5581,4.4722,223.07,66.6517
852456,2017,4.8471,220.6,65.6605,4.6282,222.73,62.0477
852458,2017,6.3403,231.98,64.7114,4.2266,227.8,64.1954
852459,2017,4.5183,225.1,66.491,4.2411,215.19,64.7215
852461,2017,4.8415,228.33,68.0008,4.1106,222.5,64.8573
852462,2017,5.3255,240.91,67.0467,3.7817,233.99,64.1978
852463,2017,5.3737,208.27,64.6965,4.8762,211.98,60.644
852464,2017,5.3392,241.46,66.7473,4.2708,228.91,62.4047
852466,2017,4.4353,221.59,66.9042,3.3759,216.53,64.9946
852467,2017,6.0053,226.54,68.3308,3.4337,217.32,66.095
852470,2017,4.603,202.81,60.6062,3.267,184.23,58.529
852472,2017,4.9912,222.45,64.3468,4.1768,214.67,60.9873
852474,2017,6.3732,240.35,64.6014,3.7547,221.67,63.9498
852476,2017,5.5575,215.09,62.8268,3.4613,203.41,59.3343
852480,2017,4.4624,243.3,65.7943,2.7177,218.14,64.2493
852481,2017,5.7172,233.96,66.2621,5.0585,215.01,63.9729
852482,2017,5.1857,215.31,64.8759,3.9763,209.52,60.4031
852483,2017,7.0552,225.95,65.0956,4.2751,209.68,63.6947
852484,2017,5.6986,221.39,63.5623,3.8726,210.78,58.7237
852485,2017,4.4813,214.73,68.0252,2.855,223.62,65.4367
852487,2017,5.9548,227.14,66.9514,4.4821,212.55,61.6962
852494,2017,4.5135,232.53,67.0984,4.7305,230.39,62.3529
852495,2017,6.4446,226.87,67.6606,4.0956,229.21,65.7063
852496,2017,4.4112,240.01,65.3258,2.5064,223.69,64.4247
852499,2017,4.979,227.17,66.3975,4.2142,210.76,65.9059
852504,2017,6.2027,225.25,65.2263,3.5266,205.75,61.8572
852506,2017,5.2887,216.11,64.9505,4.29,200.85,61.0286
852508,2017,5.7572,236.25,66.9157,4.4075,216.45,61.9042
852512,2017,4.8902,232.54,66.8432,4.9423,223.99,63.8099
