Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.047.04477,2.989,6.745,91,2,3,6,37
WSNP92K.047.04478,2.689,7.614,76,1,5,4,31.43553459
WSNP92K.047.04479,2.598,6.324,81,2,6,4,31.43553459
WSNP92K.047.04480,2.511079137,6.917,85,2,2,2,32
WSNP92K.047.04481,2.471,4.346,53,1,4,1,38
WSNP92K.051.04853,2.808,6.318,68,2,4,3,37
WSNP92K.047.04482,2.778,8.002,76,2,4,2,31
WSNP92K.047.04483,1.278,6.139,88,1,5,1,38
WSNP92K.047.04484,2.982,9.118,74,5,6,2,17
WSNP92K.047.04485,0.986,6.391,77,1,4,1,31.43553459
WSNP92K.047.04486,2.889,6.608,81,4,5,3,31.43553459
WSNP92K.047.04487,2.916,7.102,76,4,5,2,35
WSNP92K.051.04854,2.187,6.11,103,3,2,2,28
WSNP92K.051.04855,2.698,7.588,99,1,3,3,38
WSNP92K.047.04488,3,8.785,85,3,4,4,35
WSNP92K.047.04489,2.682,8.672,96,2,3,4,31.43553459
WSNP92K.047.04490,2.486,7.231,68,1,5,1,32
WSNP92K.047.04491,1.827,8.417,86,3,2,2,33
WSNP92K.047.04492,2.467,6.522,74,3,2,2,36
WSNP92K.051.04856,2.989,6.855,85,3,3,2,35
WSNP92K.047.04493,2.439,7.49,87,1,5,5,36
WSNP92K.047.04495,2.174,8.376,92,2,4,1,34
WSNP92K.047.04496,2.99,8.358,84,2,5,3,28
WSNP92K.047.04497,2.889,7.651,81,2,4,5,32
WSNP92K.047.04498,2.146,7.435,75,1,5,4,30
WSNP92K.051.04857,2.511079137,7.476437677,81,1,0,0,15
WSNP92K.047.04499,1.293,6.077,54,3,6,4,34
WSNP92K.051.04858,2.013,8.405,78,3,4,2,31
WSNP92K.047.04500,0.985,7.585,86,2,3,2,31
WSNP92K.047.04501,2.511079137,6.946,85,3,5,4,31
WSNP92K.047.04502,2.162,7.348,91,1,4,2,36
WSNP92K.047.04503,1.994,7.016,69,2,5,3,27
WSNP92K.047.04504,2.904,7.33,71,3,3,4,26
WSNP92K.047.04505,2.805,7.967,67,3,5,1,33
WSNP92K.051.04859,2.993,8.68,73,2,3,5,37
WSNP92K.051.04860,2.985,6.884,86,2,4,2,34
WSNP92K.047.04506,3.071,8.271,80,4,4,5,29
WSNP92K.047.04507,0.993,5.761,83,1,3,1,33
WSNP92K.047.04508,1.57,7.932,68,1,4,1,21
WSNP92K.047.04509,3.07,6.908,76,2,3,3,36
WSNP92K.047.04510,1.01,7.754,95,2,3,2,30
WSNP92K.051.04861,2.162,6.764,63,2,4,1,44
WSNP92K.047.04511,2.793,7.979,80,2,2,1,27
WSNP92K.047.04512,2.904,9.697,77,3,4,2,22
WSNP92K.051.04862,2.981,7.269,79,2,3,1,41
WSNP92K.048.04513,2.917,7.855,68,1,7,2,21
WSNP92K.048.04514,2.935,9.203,82,4,4,1,23
WSNP92K.048.04515,1.816,6.479,62,3,5,1,37
WSNP92K.048.04516,2.161,8.188,81,1,3,4,29
WSNP92K.051.04863,2.458,7.83,44,1,5,2,34
WSNP92K.048.04517,2.897,8.483,69,2,4,1,31.43553459
WSNP92K.048.04518,2.604,7.616,60,1,4,4,42
WSNP92K.051.04864,2.568,8.91,101,1,2,2,35
WSNP92K.048.04519,2.145,7.254,79,1,3,3,31.43553459
WSNP92K.048.04520,2.983,9.5,83,1,2,3,31.43553459
WSNP92K.048.04521,2.915,7.93,65,4,4,2,36
WSNP92K.048.04522,2.956,6.501,75,1,3,1,39
WSNP92K.048.04523,2.351,7.24,67,1,4,1,37
WSNP92K.051.04865,3.153,7.916,92,1,2,3,41
WSNP92K.048.04524,2.588,6.474,77,1,5,1,41
WSNP92K.051.04866,2.568,7.052,77,2,4,1,38
WSNP92K.048.04525,2.483,7.465,84,1,3,2,36
WSNP92K.048.04526,2.804,8.124,84,3,3,3,39
WSNP92K.048.04527,2.726,6.619,67,1,5,3,33
WSNP92K.048.04528,2.452,7.008,71,2,2,1,34
